id,name,lastname,price,flycode,typePassenger,statusFlight
63,Loy,Parra,15000.00,Mm0987b,FirstClass,En horario
64,Gabbey,Romero,37000.00,Mm0987b,FirstClass,En horario
65,Star,Aravena,33000.00,Mm0987b,FirstClass,En horario
66,Dominica,Vargas,33000.00,Ib0800a,FirstClass,Aterrizado
67,Blanch,Vazquez,15000.00,Ib0800a,FirstClass,Aterrizado
68,Cristobal,Caceres,15000.00,Ib0800a,FirstClass,Aterrizado
69,Paulita,Yaniez,50000.00,Ib0800a,FirstClass,Aterrizado
70,Sayre,Leiva,33000.00,Ib0800a,FirstClass,Aterrizado
71,Shaughn,Escobar,15000.00,Ib0800a,FirstClass,Aterrizado
72,Katrine,Ruiz,25000.00,Ib0800a,FirstClass,Aterrizado
73,Cristi,Valdes,42000.00,Ib0800a,FirstClass,Aterrizado
74,Cristie,Vidal,25000.00,Ib0800a,ExecutiveClass,Aterrizado
75,Solomon,Salinas,10000.00,Ib0800a,ExecutiveClass,Aterrizado
76,Nananne,Zuniiga,33000.00,Ib0800a,ExecutiveClass,Aterrizado
77,Sacha,Penia,25000.00,Ib0800a,ExecutiveClass,Aterrizado
78,Morse,Godoy,25000.00,Ib0800a,ExecutiveClass,Aterrizado
79,Roland,Lagos,25000.00,Ib0800a,ExecutiveClass,Aterrizado
80,Jesselyn,Maldonado,30000.00,Ib0800a,ExecutiveClass,Aterrizado
81,Kylila,Bustos,12000.00,Ib0800a,ExecutiveClass,Aterrizado
82,Kendre,Medina,25000.00,Ib0800a,ExecutiveClass,Aterrizado
83,Lesya,Pino,15000.00,Ib0800a,ExecutiveClass,Aterrizado
84,Tatiania,Palma,20000.00,Ib0800a,ExecutiveClass,Aterrizado
85,Trenton,Moreno,12000.00,Ib0800a,ExecutiveClass,Aterrizado
86,Angie,Sanhueza,20000.00,Mm0987b,FirstClass,En horario
87,Joelle,Carvajal,37000.00,Mm0987b,FirstClass,En horario
88,George,Navarrete,30000.00,Mm0987b,ExecutiveClass,En horario
89,Guenevere,Saez,30000.00,Mm0987b,ExecutiveClass,En horario
90,Margaretha,Alvarado,10000.00,Mm0987b,ExecutiveClass,En horario
91,Sully,Donoso,15000.00,Mm0987b,ExecutiveClass,En horario
92,Lonni,Poblete,50000.00,Mm0987b,ExecutiveClass,En horario
93,Nicky,Bustamante,42000.00,Mm0987b,ExecutiveClass,En horario
94,My,Toro,18000.00,Mm0987b,ExecutiveClass,En horario
95,Kyrstin,Ortega,37000.00,Ib0800a,ExecutiveClass,Aterrizado
96,Martino,Venegas,15000.00,Ib0800a,ExecutiveClass,Aterrizado
97,Marcellus,Guerrero,50000.00,Ib0800a,ExecutiveClass,Aterrizado
98,Jacquelin,Mendoza,30000.00,Ib0800a,ExecutiveClass,Aterrizado
99,Aleda,Farias,50000.00,Ib0800a,ExecutiveClass,Aterrizado
100,Georgeta,Sanmartin,10000.00,Ib0800a,ExecutiveClass,Aterrizado
101,Marcille,Gonzalez,10000.00,Ib0800a,ExecutiveClass,Aterrizado
102,Ertha,Fernandez,10000.00,Ib0800a,ExecutiveClass,Aterrizado
103,Desiri,Rodriguez,25000.00,Mm0987b,ExecutiveClass,En horario
104,Geneva,Lopez,33000.00,Mm0987b,ExecutiveClass,En horario
105,Kilian,Martinez,42000.00,Mm0987b,ExecutiveClass,En horario
106,Nance,Sanchez,10000.00,Mm0987b,ExecutiveClass,En horario
107,Gaven,Perez,10000.00,Mm0987b,ExecutiveClass,En horario
108,Carlie,Gomez,10000.00,Mm0987b,ExecutiveClass,En horario
109,Trixie,Martin,42000.00,Ib0800a,ExecutiveClass,Aterrizado
110,Dominick,Jimenez,30000.00,Ib0800a,ExecutiveClass,Aterrizado
111,Petey,Ruiz,15000.00,Ib0800a,ExecutiveClass,Aterrizado
112,Tersina,Hernandez,30000.00,Ib0800a,ExecutiveClass,Aterrizado
113,Johnathon,Diaz,15000.00,Ib0800a,ExecutiveClass,Aterrizado
114,Freddie,Moreno,12000.00,Ib0800a,ExecutiveClass,Aterrizado
115,Harmon,Alvarez,50000.00,Ib0800a,ExecutiveClass,Aterrizado
116,Tracey,Munioz,20000.00,Ib0800a,ExecutiveClass,Aterrizado
117,Cherrita,Romero,33000.00,Mm0987b,ExecutiveClass,En horario
118,Stu,Alonso,12000.00,Mm0987b,ExecutiveClass,En horario
119,Glenda,Gutierrez,37000.00,Mm0987b,ExecutiveClass,En horario
120,Lorettalorna,Navarro,25000.00,Mm0987b,ExecutiveClass,En horario
121,Patrizio,Torres,15000.00,Ib0800a,ExecutiveClass,Aterrizado
122,Linda,Dominguez,30000.00,Ib0800a,ExecutiveClass,Aterrizado
123,Pippa,Vazquez,20000.00,Ib0800a,ExecutiveClass,Aterrizado
124,Pen,Ramos,18000.00,Ib0800a,EconomyClass,Aterrizado
125,Esteban,Gonzalez,15000.00,Ib0800a,EconomyClass,Aterrizado
126,Fonzie,Munioz,15000.00,Ib0800a,EconomyClass,Aterrizado
127,Cindelyn,Rojas,12000.00,Ib0800a,EconomyClass,Aterrizado
128,Zacharie,Diaz,30000.00,Ba2491a,ExecutiveClass,Aterrizado
129,Vina,Perez,42000.00,Ba2491a,ExecutiveClass,Aterrizado
130,Omero,Soto,10000.00,Ba2491a,ExecutiveClass,Aterrizado
131,Tom,Contreras,33000.00,Ba2491a,ExecutiveClass,Aterrizado
132,Dante,Silva,30000.00,Ba2491a,ExecutiveClass,Aterrizado
133,Cordy,Martinez,18000.00,Ba2491a,ExecutiveClass,Aterrizado
134,Stephenie,Sepulveda,50000.00,Ba2491a,ExecutiveClass,Aterrizado
135,Dunstan,Morales,20000.00,Ba2491a,ExecutiveClass,Aterrizado
136,Gideon,Rodriguez,15000.00,Ba2491a,ExecutiveClass,Aterrizado
137,Johnette,Lopez,10000.00,Ba2491a,ExecutiveClass,Aterrizado
138,Brynn,Fuentes,50000.00,Ba2491a,ExecutiveClass,Aterrizado
139,Yankee,Hernandez,42000.00,Ba2491a,ExecutiveClass,Aterrizado
140,Corbin,Torres,42000.00,Ba2491a,ExecutiveClass,Aterrizado
141,Coreen,Araya,18000.00,Ib0800a,EconomyClass,Aterrizado
142,Tanya,Flores,30000.00,Ib0800a,EconomyClass,Aterrizado
143,Jenna,Espinoza,25000.00,Ib0800a,EconomyClass,Aterrizado
144,Flora,Valenzuela,33000.00,Ib0800a,EconomyClass,Aterrizado
145,Dianna,Castillo,20000.00,Ib0800a,EconomyClass,Aterrizado
146,Armand,Tapia,15000.00,Ib0800a,EconomyClass,Aterrizado
147,Gustie,Reyes,42000.00,Ib0800a,EconomyClass,Aterrizado
148,Benton,Gutierrez,12000.00,Ib0800a,EconomyClass,Aterrizado
149,Lena,Castro,25000.00,Ib0800a,EconomyClass,Aterrizado
150,Dot,Pizarro,18000.00,Ib0800a,EconomyClass,Aterrizado
151,Meryl,Alvarez,12000.00,Ib0800a,EconomyClass,Aterrizado
152,Babbie,Vasquez,15000.00,Ib0800a,EconomyClass,Aterrizado
153,Byram,Sanchez,42000.00,Ib0800a,EconomyClass,Aterrizado
154,Bertine,Fernandez,25000.00,Ib0800a,EconomyClass,Aterrizado
155,Osbert,Ramirez,42000.00,Ib0800a,EconomyClass,Aterrizado
156,Tanny,Carrasco,42000.00,Ib0800a,EconomyClass,Aterrizado
157,Maryjo,Gomez,12000.00,Ib0800a,EconomyClass,Aterrizado
158,Clarie,Cortes,42000.00,Ib0800a,EconomyClass,Aterrizado
159,Kipp,Herrera,15000.00,Ib0800a,EconomyClass,Aterrizado
160,Leonie,Nuniez,50000.00,Ib0800a,EconomyClass,Aterrizado
161,Ferdie,Jara,15000.00,Ib0800a,EconomyClass,Aterrizado
162,Ofella,Vergara,50000.00,Ib0800a,EconomyClass,Aterrizado
163,Pascale,Rivera,15000.00,Ib0800a,EconomyClass,Aterrizado
164,Cathrin,Figueroa,30000.00,Ib0800a,EconomyClass,Aterrizado
165,Sib,Riquelme,33000.00,Ib0800a,EconomyClass,Aterrizado
166,Darleen,Garcia,42000.00,Ib0800a,EconomyClass,Aterrizado
167,Didi,Miranda,15000.00,Ib0800a,EconomyClass,Aterrizado
168,Lodovico,Bravo,18000.00,Ib0800a,EconomyClass,Aterrizado
169,Farley,Vera,12000.00,Ib0800a,EconomyClass,Aterrizado
170,Devi,Molina,25000.00,Ib0800a,EconomyClass,Aterrizado
171,Clair,Vega,37000.00,Ib0800a,EconomyClass,Aterrizado
172,Addy,Campos,33000.00,Ib0800a,EconomyClass,Aterrizado
173,Brandon,Sandoval,18000.00,Ib0800a,EconomyClass,Aterrizado
174,Prentiss,Orellana,30000.00,Ib0800a,EconomyClass,Aterrizado
175,Lorant,Cardenas,50000.00,Mm0987b,ExecutiveClass,En horario
176,Wanids,Olivares,30000.00,Mm0987b,ExecutiveClass,En horario
177,Robbi,Alarcon,10000.00,Mm0987b,ExecutiveClass,En horario
178,Mellicent,Gallardo,50000.00,Mm0987b,ExecutiveClass,En horario
179,Lynea,Ortiz,20000.00,Mm0987b,ExecutiveClass,En horario
180,Nial,Garrido,15000.00,Mm0987b,ExecutiveClass,En horario
181,Guillaume,Salazar,37000.00,Mm0987b,ExecutiveClass,En horario
182,Loutitia,Guzman,25000.00,Mm0987b,ExecutiveClass,En horario
183,Ruthe,Henriquez,30000.00,Mm0987b,ExecutiveClass,En horario
184,Eric,Saavedra,50000.00,Mm0987b,ExecutiveClass,En horario
185,Marcellus,Navarro,30000.00,Mm0987b,ExecutiveClass,En horario
186,Ian,Aguilera,42000.00,Mm0987b,ExecutiveClass,En horario
187,Sebastien,Parra,37000.00,Mm0987b,ExecutiveClass,En horario
188,Scarface,Romero,50000.00,Mm0987b,ExecutiveClass,En horario
189,Maible,Aravena,18000.00,Mm0987b,ExecutiveClass,En horario
190,Waldon,Vargas,30000.00,Mm0987b,ExecutiveClass,En horario
191,Bethina,Vazquez,15000.00,Mm0987b,ExecutiveClass,En horario
192,Farand,Caceres,42000.00,Mm0987b,ExecutiveClass,En horario
193,Zolly,Yaniez,25000.00,Mm0987b,ExecutiveClass,En horario
194,Philipa,Leiva,42000.00,Tu6789b,FirstClass,Aterrizado
195,Roderigo,Escobar,20000.00,Ba2491a,ExecutiveClass,Aterrizado
196,Otho,Ruiz,20000.00,Ba2491a,ExecutiveClass,Aterrizado
197,Alasteir,Valdes,20000.00,Ba2491a,ExecutiveClass,Aterrizado
198,Eleonora,Vidal,42000.00,Ba2491a,EconomyClass,Aterrizado
199,Eliot,Salinas,12000.00,Ba2491a,EconomyClass,Aterrizado
200,Alana,Zuniiga,30000.00,Ba2491a,EconomyClass,Aterrizado
201,Odey,Penia,20000.00,Ba2491a,EconomyClass,Aterrizado
202,Yorke,Godoy,15000.00,Ba2491a,EconomyClass,Aterrizado
203,Cissiee,Lagos,18000.00,Ba2491a,EconomyClass,Aterrizado
204,Jillana,Maldonado,18000.00,Ba2491a,EconomyClass,Aterrizado
205,Mallorie,Bustos,30000.00,Tu6789b,FirstClass,Aterrizado
206,Borden,Medina,12000.00,Tu6789b,FirstClass,Aterrizado
207,Maddie,Pino,33000.00,Tu6789b,FirstClass,Aterrizado
208,Weider,Palma,50000.00,Tu6789b,FirstClass,Aterrizado
209,Asia,Moreno,37000.00,Tu6789b,FirstClass,Aterrizado
210,Sayres,Sanhueza,10000.00,Tu6789b,FirstClass,Aterrizado
211,Marcile,Carvajal,30000.00,Tu6789b,FirstClass,Aterrizado
212,Thomasina,Navarrete,42000.00,Tu6789b,FirstClass,Aterrizado
213,Darwin,Saez,18000.00,Tu6789b,FirstClass,Aterrizado
214,Nicolina,Alvarado,30000.00,Tu6789b,FirstClass,Aterrizado
215,Nita,Donoso,12000.00,Tu6789b,FirstClass,Aterrizado
216,Nikoletta,Poblete,12000.00,Tu6789b,FirstClass,Aterrizado
217,Dwight,Bustamante,42000.00,Tu6789b,FirstClass,Aterrizado
218,Romola,Toro,50000.00,Tu6789b,FirstClass,Aterrizado
219,Kaile,Ortega,33000.00,Tu6789b,FirstClass,Aterrizado
220,Mozes,Venegas,25000.00,Tu6789b,FirstClass,Aterrizado
221,Aylmer,Guerrero,33000.00,Tu6789b,FirstClass,Aterrizado
222,Marina,Mendoza,12000.00,Tu6789b,FirstClass,Aterrizado
223,Enrico,Farias,50000.00,Tu6789b,FirstClass,Aterrizado
224,Zonda,Sanmartin,33000.00,Tu6789b,FirstClass,Aterrizado
225,Adriano,Gonzalez,33000.00,Tu6789b,FirstClass,Aterrizado
226,Trula,Fernandez,30000.00,Tu6789b,FirstClass,Aterrizado
227,Adel,Rodriguez,30000.00,Tu6789b,FirstClass,Aterrizado
228,Jeniece,Lopez,15000.00,Tu6789b,FirstClass,Aterrizado
229,Tabina,Martinez,10000.00,Tu6789b,FirstClass,Aterrizado
230,Liana,Sanchez,33000.00,Tu6789b,FirstClass,Aterrizado
231,Marmaduke,Perez,10000.00,Ba2491a,EconomyClass,Aterrizado
232,Alla,Gomez,30000.00,Ba2491a,EconomyClass,Aterrizado
233,Peter,Martin,12000.00,Ba2491a,EconomyClass,Aterrizado
234,Pietro,Jimenez,18000.00,Ba2491a,EconomyClass,Aterrizado
235,Hiram,Ruiz,20000.00,Ba2491a,EconomyClass,Aterrizado
236,Anastasia,Hernandez,18000.00,Ba2491a,EconomyClass,Aterrizado
237,Cathleen,Diaz,10000.00,Tu6789b,FirstClass,Aterrizado
238,Leeanne,Moreno,15000.00,Tu6789b,FirstClass,Aterrizado
239,Chet,Alvarez,42000.00,Tu6789b,FirstClass,Aterrizado
240,Billie,Munioz,37000.00,Tu6789b,FirstClass,Aterrizado
241,Alexandra,Romero,42000.00,Tu6789b,FirstClass,Aterrizado
242,Broddie,Alonso,42000.00,Tu6789b,ExecutiveClass,Aterrizado
243,Brigham,Gutierrez,25000.00,Tu6789b,ExecutiveClass,Aterrizado
244,Cal,Navarro,42000.00,Tu6789b,ExecutiveClass,Aterrizado
245,Donal,Torres,18000.00,Tu6789b,ExecutiveClass,Aterrizado
246,Adam,Dominguez,20000.00,Tu6789b,ExecutiveClass,Aterrizado
247,Dotty,Vazquez,42000.00,Tu6789b,ExecutiveClass,Aterrizado
248,Maynard,Ramos,18000.00,Tu6789b,ExecutiveClass,Aterrizado
249,Jessee,Gonzalez,30000.00,Tu6789b,ExecutiveClass,Aterrizado
250,Tiphani,Munioz,42000.00,Tu6789b,ExecutiveClass,Aterrizado
251,Jenna,Rojas,30000.00,Tu6789b,ExecutiveClass,Aterrizado
252,Karlotte,Diaz,20000.00,Ba2491a,EconomyClass,Aterrizado
253,Norene,Perez,25000.00,Ba2491a,EconomyClass,Aterrizado
254,Morris,Soto,10000.00,Ba2491a,EconomyClass,Aterrizado
255,Yuri,Contreras,25000.00,Ba2491a,EconomyClass,Aterrizado
256,Gusty,Silva,10000.00,Ba2491a,EconomyClass,Aterrizado
257,Jori,Martinez,12000.00,Ba2491a,EconomyClass,Aterrizado
258,Sydelle,Sepulveda,30000.00,Ba2491a,EconomyClass,Aterrizado
259,Merrile,Morales,50000.00,Ba2491a,EconomyClass,Aterrizado
260,Tadd,Rodriguez,50000.00,Tu6789b,ExecutiveClass,Aterrizado
261,Josiah,Lopez,10000.00,Tu6789b,ExecutiveClass,Aterrizado
262,Melisa,Fuentes,12000.00,Tu6789b,ExecutiveClass,Aterrizado
263,Orelee,Hernandez,20000.00,Tu6789b,ExecutiveClass,Aterrizado
264,Stephen,Torres,37000.00,Tu6789b,ExecutiveClass,Aterrizado
265,Blair,Araya,50000.00,Tu6789b,ExecutiveClass,Aterrizado
266,Arel,Flores,30000.00,Tu6789b,ExecutiveClass,Aterrizado
267,Abbie,Espinoza,25000.00,Tu6789b,ExecutiveClass,Aterrizado
268,Channa,Valenzuela,50000.00,Tu6789b,ExecutiveClass,Aterrizado
269,Shirl,Castillo,20000.00,Tu6789b,ExecutiveClass,Aterrizado
270,Edlin,Tapia,20000.00,Tu6789b,ExecutiveClass,Aterrizado
271,Larina,Reyes,18000.00,Tu6789b,ExecutiveClass,Aterrizado
272,Duncan,Gutierrez,37000.00,Tu6789b,ExecutiveClass,Aterrizado
273,Bond,Castro,10000.00,Tu6789b,ExecutiveClass,Aterrizado
274,Dyann,Pizarro,50000.00,Tu6789b,ExecutiveClass,Aterrizado
275,Charmian,Alvarez,15000.00,Tu6789b,ExecutiveClass,Aterrizado
276,Dru,Vasquez,50000.00,Tu6789b,ExecutiveClass,Aterrizado
277,Kiel,Sanchez,50000.00,Tu6789b,ExecutiveClass,Aterrizado
278,Emory,Fernandez,15000.00,Tu6789b,ExecutiveClass,Aterrizado
279,Alberik,Ramirez,50000.00,Tu6789b,ExecutiveClass,Aterrizado
280,Koenraad,Carrasco,20000.00,Tu6789b,ExecutiveClass,Aterrizado
281,Rafaellle,Gomez,50000.00,Tu6789b,ExecutiveClass,Aterrizado
282,Edie,Cortes,25000.00,Tu6789b,ExecutiveClass,Aterrizado
283,Osbert,Herrera,15000.00,Tu6789b,ExecutiveClass,Aterrizado
284,Sidonia,Nuniez,10000.00,Tu6789b,ExecutiveClass,Aterrizado
285,Bartel,Jara,37000.00,Tu6789b,ExecutiveClass,Aterrizado
286,Jodi,Vergara,30000.00,Ba2491a,EconomyClass,Aterrizado
287,Ofelia,Rivera,30000.00,Ba2491a,EconomyClass,Aterrizado
288,Dudley,Figueroa,42000.00,Ba2491a,EconomyClass,Aterrizado
289,Dulcea,Riquelme,25000.00,Ba2491a,EconomyClass,Aterrizado
290,Gordon,Garcia,25000.00,Ba2491a,EconomyClass,Aterrizado
291,Chalmers,Miranda,10000.00,Ba2491a,EconomyClass,Aterrizado
292,Christiano,Bravo,50000.00,Ba2491a,EconomyClass,Aterrizado
293,Russell,Vera,50000.00,Ba2491a,EconomyClass,Aterrizado
294,Cleo,Molina,50000.00,Ba2491a,EconomyClass,Aterrizado
295,Catriona,Vega,42000.00,Tu6789b,ExecutiveClass,Aterrizado
296,Leigh,Campos,37000.00,Tu6789b,ExecutiveClass,Aterrizado
297,Ddene,Sandoval,12000.00,Tu6789b,ExecutiveClass,Aterrizado
298,Sayre,Orellana,18000.00,Tu6789b,EconomyClass,Aterrizado
299,Jody,Cardenas,33000.00,Tu6789b,EconomyClass,Aterrizado
300,Zabrina,Olivares,12000.00,Tu6789b,EconomyClass,Aterrizado
301,Cos,Alarcon,30000.00,Tu6789b,EconomyClass,Aterrizado
302,Ron,Gallardo,20000.00,Tu6789b,EconomyClass,Aterrizado
303,Charin,Ortiz,12000.00,Tu6789b,EconomyClass,Aterrizado
304,Coleman,Garrido,33000.00,Tu6789b,EconomyClass,Aterrizado
305,Jacinda,Salazar,50000.00,Tu6789b,EconomyClass,Aterrizado
306,Silvan,Guzman,12000.00,Tu6789b,EconomyClass,Aterrizado
307,Renie,Henriquez,33000.00,Tu6789b,EconomyClass,Aterrizado
308,Davide,Saavedra,42000.00,Tu6789b,EconomyClass,Aterrizado
309,Ernestus,Navarro,12000.00,Tu6789b,EconomyClass,Aterrizado
310,Brnaba,Aguilera,37000.00,Tu6789b,EconomyClass,Aterrizado
311,Tabor,Parra,37000.00,Tu6789b,EconomyClass,Aterrizado
312,Lenci,Romero,42000.00,Tu6789b,EconomyClass,Aterrizado
313,Franchot,Aravena,12000.00,Tu6789b,EconomyClass,Aterrizado
314,Charisse,Vargas,50000.00,Tu6789b,EconomyClass,Aterrizado
315,Timothea,Vazquez,20000.00,Tu6789b,EconomyClass,Aterrizado
316,Angelika,Caceres,50000.00,Ba2491a,EconomyClass,Aterrizado
317,Web,Yaniez,37000.00,Ba2491a,EconomyClass,Aterrizado
318,Urban,Leiva,10000.00,Ba2491a,EconomyClass,Aterrizado
319,Fan,Escobar,18000.00,Ba2491a,EconomyClass,Aterrizado
320,Donaugh,Ruiz,12000.00,Ba2491a,EconomyClass,Aterrizado
321,Wilona,Valdes,25000.00,Ba2491a,EconomyClass,Aterrizado
322,Richard,Vidal,42000.00,Ba2491a,EconomyClass,Aterrizado
323,Hilary,Salinas,37000.00,Ba2491a,EconomyClass,Aterrizado
324,Ad,Zuniiga,33000.00,Ba2491a,EconomyClass,Aterrizado
325,Maynord,Penia,42000.00,Ba2491a,EconomyClass,Aterrizado
326,Lina,Godoy,12000.00,Tu6789b,EconomyClass,Aterrizado
327,Nerty,Lagos,20000.00,Tu6789b,EconomyClass,Aterrizado
328,Matias,Maldonado,33000.00,Tu6789b,EconomyClass,Aterrizado
329,Urbano,Bustos,50000.00,Tu6789b,EconomyClass,Aterrizado
330,Rosemarie,Medina,33000.00,Tu6789b,EconomyClass,Aterrizado
331,Booth,Pino,15000.00,Tu6789b,EconomyClass,Aterrizado
332,Eden,Palma,18000.00,Tu6789b,EconomyClass,Aterrizado
333,Cornie,Moreno,15000.00,Tu6789b,EconomyClass,Aterrizado
334,Isak,Sanhueza,20000.00,Tu6789b,EconomyClass,Aterrizado
335,Rand,Carvajal,20000.00,Tu6789b,EconomyClass,Aterrizado
336,Dominique,Navarrete,37000.00,Tu6789b,EconomyClass,Aterrizado
337,Lira,Saez,30000.00,Tu6789b,EconomyClass,Aterrizado
338,Filbert,Alvarado,20000.00,Tu6789b,EconomyClass,Aterrizado
339,Nona,Donoso,30000.00,Tu6789b,EconomyClass,Aterrizado
340,Melloney,Poblete,33000.00,Tu6789b,EconomyClass,Aterrizado
341,Rafaello,Bustamante,37000.00,Tu6789b,EconomyClass,Aterrizado
342,Floria,Toro,12000.00,Tu6789b,EconomyClass,Aterrizado
343,Johannes,Ortega,18000.00,Tu6789b,EconomyClass,Aterrizado
344,Genevra,Venegas,10000.00,Tu6789b,EconomyClass,Aterrizado
345,Aldric,Guerrero,50000.00,Tu6789b,EconomyClass,Aterrizado
346,Janeta,Mendoza,10000.00,Tu6789b,EconomyClass,Aterrizado
347,Tarra,Farias,12000.00,Tu6789b,EconomyClass,Aterrizado
348,Jefferey,Martin,33000.00,Tu6789b,EconomyClass,Aterrizado
349,Cassie,Gonzalez,50000.00,Tu6789b,EconomyClass,Aterrizado
350,Maiga,Fernandez,20000.00,Tu6789b,EconomyClass,Aterrizado
351,Heddi,Rodriguez,20000.00,Tu6789b,EconomyClass,Aterrizado
352,Marieann,Lopez,50000.00,Tu6789b,EconomyClass,Aterrizado
353,Carita,Martinez,42000.00,Tu6789b,EconomyClass,Aterrizado
354,Kurtis,Sanchez,50000.00,Tu6789b,EconomyClass,Aterrizado
355,Wilfred,Perez,20000.00,Tu6789b,EconomyClass,Aterrizado
356,Isabelle,Gomez,20000.00,Tu6789b,EconomyClass,Aterrizado
357,Nisse,Martin,37000.00,Tu6789b,EconomyClass,Aterrizado
358,Ula,Jimenez,50000.00,Tu6789b,EconomyClass,Aterrizado
359,Tully,Ruiz,18000.00,Tu6789b,EconomyClass,Aterrizado
360,Honor,Hernandez,30000.00,Tu6789b,EconomyClass,Aterrizado
361,Sinclair,Diaz,50000.00,Tu6789b,EconomyClass,Aterrizado
362,Buddy,Moreno,50000.00,Tu6789b,EconomyClass,Aterrizado
363,Neilla,Alvarez,50000.00,Tu6789b,EconomyClass,Aterrizado
364,Junie,Munioz,20000.00,Tu6789b,EconomyClass,Aterrizado
365,Neely,Romero,20000.00,Tu6789b,EconomyClass,Aterrizado
366,Klarrisa,Alonso,18000.00,Tu6789b,EconomyClass,Aterrizado
